Date,Description,Amount,Merchant
2024-01-15,Coffee shop purchase,-4.95,Starbucks
2024-01-16,Grocery shopping,-87.32,Whole Foods Market
2024-01-17,Gas station,-45.2,Shell
2024-01-18,Salary deposit,3500.0,ACME Corp
2024-01-19,Restaurant dinner,-65.43,The Italian Place
2024-01-20,Online shopping,-129.99,Amazon
2024-01-21,Movie tickets,-24.5,AMC Theaters
2024-01-22,Electric bill,-98.76,PG&E
2024-01-23,Pharmacy,-15.67,CVS Pharmacy
2024-01-24,Uber ride,-18.45,Uber
2024-01-25,Subscription,-9.99,Netflix
2024-01-26,Freelance payment,850.0,Client ABC
