Date,Description,Amount,Merchant
2024-01-15,Coffee shop purchase,-4.95,Starbucks
2024-01-16,Grocery shopping,-87.32,Whole Foods Market
2024-01-17,Gas station,-45.20,Shell
2024-01-18,Salary deposit,3500.00,ACME Corp
2024-01-19,Restaurant dinner,-65.43,The Italian Place
2024-01-20,Online shopping,-129.99,Amazon
2024-01-21,Netflix subscription,-9.99,Netflix
2024-01-22,Electric bill,-98.76,PG&E
2024-01-23,Uber ride,-18.45,Uber
2024-01-24,Freelance payment,850.00,Client ABC
2024-01-25,Grocery shopping,-75.23,Target
2024-01-26,Spotify subscription,-9.99,Spotify
